cik,company_name,form_type,date_filed,edgar_url
1001039,WALT DISNEY CO/,10-K,2011-11-23,edgar/data/1001039/0001193125-11-321340.txt
1001115,OYO GEOSPACE CORP,10-K,2011-12-09,edgar/data/1001115/0001193125-11-336346.txt
1001258,ASTA FUNDING INC,10-K,2011-12-14,edgar/data/1001258/0001193125-11-341091.txt
1002037,LEARNING TREE INTERNATIONAL INC,10-K,2011-12-13,edgar/data/1002037/0001193125-11-339516.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2011-12-16,edgar/data/1002360/0001000096-11-000307.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2011-12-23,edgar/data/1002360/0001000096-11-000330.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2011-12-28,edgar/data/1002360/0001000096-11-000346.txt
1002360,"ABSOLUTE POTENTIAL, INC.",10-K,2011-12-29,edgar/data/1002360/0001000096-11-000357.txt
1002517,"Nuance Communications, Inc.",10-K,2011-11-29,edgar/data/1002517/0000950123-11-100969.txt
1002590,STAR GAS PARTNERS LP,10-K,2011-12-07,edgar/data/1002590/0001193125-11-333567.txt
1002822,FIRST AMERICAN SCIENTIFIC CORP \NV\,10-K,2011-10-13,edgar/data/1002822/0001002014-11-000476.txt
1002822,FIRST AMERICAN SCIENTIFIC CORP.,10-K/A,2011-11-14,edgar/data/1002822/0001002014-11-000554.txt
1003078,MSC INDUSTRIAL DIRECT CO INC,10-K,2011-10-26,edgar/data/1003078/0001144204-11-059451.txt
1003344,HEADWATERS INC,10-K,2011-11-18,edgar/data/1003344/0001193125-11-316813.txt
1003950,PERFORMANCE TECHNOLOGIES INC \DE\,10-K/A,2011-12-29,edgar/data/1003950/0001003950-11-000064.txt
1003961,PATAPSCO BANCORP INC,10-K,2011-10-05,edgar/data/1003961/0001144204-11-056598.txt
10048,BARNWELL INDUSTRIES INC,10-K,2011-12-13,edgar/data/10048/0001104659-11-069156.txt
100493,TYSON FOODS INC,10-K,2011-11-21,edgar/data/100493/0001193125-11-317791.txt
1005101,CONCIERGE TECHNOLOGIES INC,10-K,2011-10-13,edgar/data/1005101/0001354488-11-003778.txt
100517,"United Continental Holdings, Inc.",10-K/A,2011-10-28,edgar/data/100517/0001193125-11-286507.txt
1005210,SUBURBAN PROPANE PARTNERS LP,10-K,2011-11-23,edgar/data/1005210/0000950123-11-100194.txt
1005276,MOHEGAN TRIBAL GAMING AUTHORITY,10-K,2011-12-29,edgar/data/1005276/0001005276-11-000011.txt
100548,UGI UTILITIES INC,10-K,2011-11-21,edgar/data/100548/0001445305-11-003474.txt
1005731,IDT CORP,10-K,2011-10-11,edgar/data/1005731/0001193125-11-268519.txt
1006028,"PURE BIOSCIENCE, INC.",10-K,2011-10-31,edgar/data/1006028/0001079973-11-000829.txt
1006459,Homeland Security Capital CORP,10-K,2011-10-06,edgar/data/1006459/0000950123-11-088835.txt
1006820,NORTHERN CALIFORNIA BANCORP INC,10-K/A,2011-12-27,edgar/data/1006820/0001104659-11-071218.txt
1009626,BROCADE COMMUNICATIONS SYSTEMS INC,10-K,2011-12-20,edgar/data/1009626/0001193125-11-346102.txt
101001,UNITED AIR LINES INC,10-K/A,2011-10-28,edgar/data/101001/0001193125-11-286507.txt
1013237,FACTSET RESEARCH SYSTEMS INC,10-K,2011-10-31,edgar/data/1013237/0001193125-11-288590.txt
1013453,"VALCOM, INC",NT 10-K,2011-12-28,edgar/data/1013453/0001398344-11-002934.txt
1014052,"Digerati Technologies, Inc.",10-K,2011-10-31,edgar/data/1014052/0001144204-11-060308.txt
1014507,"SIRONA DENTAL SYSTEMS, INC.",10-K,2011-11-21,edgar/data/1014507/0001193125-11-318651.txt
101462,UNITED REFINING CO,10-K,2011-11-29,edgar/data/101462/0001193125-11-324609.txt
1015789,"PROELITE, INC.",10-K,2011-11-21,edgar/data/1015789/0001019687-11-003664.txt
1016504,INTEGRATED BIOPHARMA INC,10-K,2011-10-13,edgar/data/1016504/0001016504-11-000011.txt
1017110,GENETHERA INC,10-K,2011-11-03,edgar/data/1017110/0001017110-11-000004.txt
1017110,GENETHERA INC,10-K,2011-11-04,edgar/data/1017110/0001017110-11-000006.txt
1019216,"NEWPORT DIGITAL TECHNOLOGIES, INC.",10-K,2011-10-31,edgar/data/1019216/0001091818-11-000577.txt
1019361,ROFIN SINAR TECHNOLOGIES INC,10-K,2011-11-29,edgar/data/1019361/0001157523-11-006991.txt
