cik,company_name,form_type,date_filed,edgar_url
1001250,ESTEE LAUDER COMPANIES INC,10-K,2013-08-23,edgar/data/1001250/0001104659-13-065820.txt
1001279,INTERNET AMERICA INC,10-K,2013-09-27,edgar/data/1001279/0001144204-13-052700.txt
1001426,PERICOM SEMICONDUCTOR CORP,10-K,2013-08-29,edgar/data/1001426/0001145443-13-001761.txt
1002638,OPEN TEXT CORP,10-K,2013-08-01,edgar/data/1002638/0001002638-13-000022.txt
100378,TWIN DISC INC,10-K,2013-09-13,edgar/data/100378/0000100378-13-000044.txt
1004724,"ADCARE HEALTH SYSTEMS, INC",10-K,2013-07-08,edgar/data/1004724/0001047469-13-007401.txt
1005101,CONCIERGE TECHNOLOGIES INC,NT 10-K,2013-09-30,edgar/data/1005101/0001471242-13-000345.txt
1005286,LANDEC CORP \CA\,10-K,2013-08-07,edgar/data/1005286/0001437749-13-010047.txt
1006655,EVOLUTION PETROLEUM CORP,10-K,2013-09-13,edgar/data/1006655/0001047469-13-009060.txt
1006830,CONSUMERS BANCORP INC /OH/,10-K,2013-09-24,edgar/data/1006830/0001144204-13-052148.txt
100726,UNIFI INC,10-K,2013-09-10,edgar/data/100726/0001437749-13-011848.txt
1010470,PROVIDENT FINANCIAL HOLDINGS INC,10-K,2013-09-13,edgar/data/1010470/0000939057-13-000408.txt
1011006,YAHOO INC,10-K/A,2013-09-17,edgar/data/1011006/0001193125-13-369190.txt
1011060,AdvanSource Biomaterials Corp,10-K/A,2013-07-17,edgar/data/1011060/0001011060-13-000021.txt
1011060,AdvanSource Biomaterials Corp,10-K/A,2013-07-29,edgar/data/1011060/0001011060-13-000023.txt
1011060,AdvanSource Biomaterials Corp,10-K,2013-07-15,edgar/data/1011060/0001011060-13-000010.txt
1011060,AdvanSource Biomaterials Corp,NT 10-K,2013-07-01,edgar/data/1011060/0001011060-13-000006.txt
1011290,99 CENTS ONLY STORES,10-K,2013-07-12,edgar/data/1011290/0001104659-13-054244.txt
1011290,99 CENTS ONLY STORES,NT 10-K,2013-07-01,edgar/data/1011290/0001104659-13-052376.txt
1012493,FERRELLGAS PARTNERS FINANCE CORP,10-K,2013-09-26,edgar/data/1012493/0000922358-13-000014.txt
101538,UNITED STATES ANTIMONY CORP,10-K/A,2013-08-22,edgar/data/101538/0001354488-13-004840.txt
1016504,INTEGRATED BIOPHARMA INC,10-K,2013-09-30,edgar/data/1016504/0001016504-13-000011.txt
1016951,DIGITAL CREATIVE DEVELOPMENT CORP,NT 10-K,2013-09-27,edgar/data/1016951/0001471242-13-000343.txt
1017491,"APRICUS BIOSCIENCES, INC.",10-K/A,2013-09-30,edgar/data/1017491/0001193125-13-384562.txt
1018281,INTEGRAL TECHNOLOGIES INC,10-K,2013-09-30,edgar/data/1018281/0001140361-13-037258.txt
1020302,"INTERNET INFINITY, INC.",10-K,2013-07-15,edgar/data/1020302/0001493152-13-001326.txt
1020302,"INTERNET INFINITY, INC.",NT 10-K,2013-07-01,edgar/data/1020302/0001493152-13-001284.txt
1020477,ROTATE BLACK INC,10-K,2013-08-28,edgar/data/1020477/0001354488-13-004921.txt
1021917,"JV GROUP, INC.",NT 10-K,2013-09-30,edgar/data/1021917/0001072588-13-000106.txt
1022225,OPLINK COMMUNICATIONS INC,10-K,2013-09-13,edgar/data/1022225/0001022225-13-000033.txt
1023198,"StemGen, Inc.",10-K,2013-09-20,edgar/data/1023198/0001308411-13-000265.txt
1024305,COTY INC.,10-K,2013-09-17,edgar/data/1024305/0000930413-13-004596.txt
1027235,Asia Travel Corp,10-K,2013-07-12,edgar/data/1027235/0001549727-13-000125.txt
103096,TRC COMPANIES INC /DE/,10-K,2013-09-12,edgar/data/103096/0001515316-13-000035.txt
1031028,GLOBECOMM SYSTEMS INC,10-K,2013-09-13,edgar/data/1031028/0001193125-13-366627.txt
1032975,LOGITECH INTERNATIONAL SA,10-K/A,2013-08-07,edgar/data/1032975/0001104659-13-061077.txt
1035354,SENESCO TECHNOLOGIES INC,10-K/A,2013-09-25,edgar/data/1035354/0001144204-13-052389.txt
1035354,SENESCO TECHNOLOGIES INC,10-K,2013-09-11,edgar/data/1035354/0001144204-13-050259.txt
1037131,PLAYERS NETWORK,10-K/A,2013-07-30,edgar/data/1037131/0001019687-13-002746.txt
1039065,OSI SYSTEMS INC,10-K,2013-08-16,edgar/data/1039065/0001047469-13-008515.txt
1039280,NETSOL TECHNOLOGIES INC,10-K,2013-09-12,edgar/data/1039280/0001171843-13-003695.txt
1040470,AEHR TEST SYSTEMS,10-K,2013-08-28,edgar/data/1040470/0001354488-13-004932.txt
1040721,APOLO GOLD & ENERGY INC.,10-K,2013-09-24,edgar/data/1040721/0001079973-13-000565.txt
1041177,Sutor Technology Group LTD,10-K,2013-09-20,edgar/data/1041177/0001144204-13-051732.txt
1041514,NET 1 UEPS TECHNOLOGIES INC,10-K,2013-08-22,edgar/data/1041514/0001062993-13-004373.txt
1041657,"RADIO ONE, INC.",10-K/A,2013-09-13,edgar/data/1041657/0001144204-13-050697.txt
1045829,VANGUARD HEALTH SYSTEMS INC,10-K,2013-08-20,edgar/data/1045829/0001045829-13-000045.txt
1047335,NATIONAL HEALTHCARE CORP,10-K/A,2013-08-23,edgar/data/1047335/0001047335-13-000094.txt
104777,"ALTEVA, INC.",10-K/A,2013-08-07,edgar/data/104777/0001104659-13-061117.txt
1048911,FEDEX CORP,10-K,2013-07-15,edgar/data/1048911/0001193125-13-290858.txt
1049210,VERENIUM CORP,10-K/A,2013-07-30,edgar/data/1049210/0001193125-13-310228.txt
1049521,MERCURY SYSTEMS INC,10-K,2013-08-16,edgar/data/1049521/0001049521-13-000008.txt
105016,WATSCO INC,10-K/A,2013-08-09,edgar/data/105016/0001193125-13-329307.txt
1052054,EVOLVING SYSTEMS INC,10-K/A,2013-08-30,edgar/data/1052054/0001104659-13-067525.txt
1055454,SCHOOL SPECIALTY INC,10-K,2013-08-07,edgar/data/1055454/0001193125-13-324155.txt
1055454,SCHOOL SPECIALTY INC,NT 10-K,2013-07-29,edgar/data/1055454/0000892712-13-000470.txt
1058307,SILVER HORN MINING LTD.,10-K/A,2013-08-07,edgar/data/1058307/0001521536-13-000668.txt
1059272,"bebe stores, inc.",10-K,2013-09-19,edgar/data/1059272/0001193125-13-371790.txt
1059790,POZEN INC /NC,10-K/A,2013-07-02,edgar/data/1059790/0001193125-13-281184.txt
106040,WESTERN DIGITAL CORP,10-K,2013-08-19,edgar/data/106040/0001193125-13-338607.txt
1060426,"AOXING PHARMACEUTICAL COMPANY, INC.",NT 10-K,2013-09-30,edgar/data/1060426/0001096906-13-001534.txt
1060910,GENERAL METALS CORP,10-K,2013-08-13,edgar/data/1060910/0001437749-13-010610.txt
1060910,GENERAL METALS CORP,NT 10-K,2013-07-29,edgar/data/1060910/0001437749-13-009506.txt
1061164,PEREGRINE INDUSTRIES INC,NT 10-K,2013-09-30,edgar/data/1061164/0001295345-13-000163.txt
1063665,CORGENIX MEDICAL CORP/CO,10-K,2013-09-30,edgar/data/1063665/0001047469-13-009399.txt
1065001,"Shearson American REIT, Inc.",10-K/A,2013-08-22,edgar/data/1065001/0001477932-13-003983.txt
1065001,"Shearson American REIT, Inc.",10-K/A,2013-08-22,edgar/data/1065001/0001477932-13-003991.txt
1065087,ALBANY MOLECULAR RESEARCH INC,10-K/A,2013-08-27,edgar/data/1065087/0001144204-13-048080.txt
1065837,SKECHERS USA INC,10-K/A,2013-07-31,edgar/data/1065837/0001193125-13-312361.txt
1065860,LIME ENERGY CO.,10-K,2013-07-31,edgar/data/1065860/0001104659-13-058403.txt
1066134,CORINTHIAN COLLEGES INC,10-K,2013-09-03,edgar/data/1066134/0001047469-13-008803.txt
1066194,EGAIN Corp,10-K,2013-09-23,edgar/data/1066194/0001564590-13-000619.txt
1066923,"SkyPeople Fruit Juice, Inc",10-K/A,2013-09-30,edgar/data/1066923/0001415889-13-001909.txt
1067294,"CRACKER BARREL OLD COUNTRY STORE, INC",10-K,2013-09-26,edgar/data/1067294/0001140361-13-037045.txt
1067873,ASI ENTERTAINMENT INC,10-K,2013-09-20,edgar/data/1067873/0001393905-13-000536.txt
1068717,RTI INTERNATIONAL METALS INC,10-K/A,2013-09-24,edgar/data/1068717/0001193125-13-375314.txt
1068874,IMPLANT SCIENCES CORP,10-K,2013-09-30,edgar/data/1068874/0001068874-13-000050.txt
1069799,PACIFIC SANDS INC,10-K,2013-09-26,edgar/data/1069799/0001096906-13-001517.txt
1070380,SABA SOFTWARE INC,NT 10-K,2013-08-14,edgar/data/1070380/0001193125-13-334803.txt
1070524,GREENE COUNTY BANCORP INC,10-K,2013-09-30,edgar/data/1070524/0001070524-13-000027.txt
1071993,CONTANGO OIL & GAS CO,10-K/A,2013-08-21,edgar/data/1071993/0001193125-13-341138.txt
1071993,CONTANGO OIL & GAS CO,10-K,2013-08-29,edgar/data/1071993/0001071993-13-000011.txt
1073146,AMERICAN INTERNATIONAL INDUSTRIES INC,10-K/A,2013-09-05,edgar/data/1073146/0001073146-13-000045.txt
1073349,BOTTOMLINE TECHNOLOGIES INC /DE/,10-K,2013-08-29,edgar/data/1073349/0001193125-13-351488.txt
1073362,"Occidental Development Group, Inc.",10-K,2013-09-13,edgar/data/1073362/0001052918-13-000389.txt
1073362,"Occidental Development Group, Inc.",NT 10-K,2013-08-29,edgar/data/1073362/0001052918-13-000376.txt
1074458,"Manasota Group, Inc.",10-K,2013-07-19,edgar/data/1074458/0001575872-13-000007.txt
1074871,BEAR LAKE RECREATION INC,10-K,2013-09-03,edgar/data/1074871/0001549632-13-000029.txt
1077638,SENSE TECHNOLOGIES INC,10-K,2013-07-25,edgar/data/1077638/0001185185-13-001514.txt
1077866,LOOKSMART LTD,10-K/A,2013-09-16,edgar/data/1077866/0001144204-13-051060.txt
1078037,"REMEDENT, INC.",10-K,2013-07-15,edgar/data/1078037/0001144204-13-039518.txt
1078271,EXTREME NETWORKS INC,10-K,2013-08-30,edgar/data/1078271/0001078271-13-000049.txt
1079282,"Bio-Matrix Scientific Group, Inc.",10-K/A,2013-07-31,edgar/data/1079282/0001554795-13-000418.txt
